oem,model,battery_charging,platform_cpu,platform_gpu,body_sim,network_technology,display_type,main_camera_video,selfie_camera_video,body_weight,display_resolution,display_size,sound_3.5mm_jack,platform_os,platform_chipset,misc_price,memory,ram,removability,battery_capacity
vivo,iQOO Neo,22.5,8,Adreno 630,Dual-Sim,LTE,Super AMOLED,4K,1080p,198.5,1080 x 2340 ,6.38,Yes,Android,Qualcomm SDM845 Snapdragon 845,250,64,6,Non-removable,4500
vivo,Z5x,18,8,Adreno 616,Dual-Sim,LTE,IPS LCD,1080p,1080p,204.1,1080 x 2340 ,6.53,Yes,Android,Qualcomm SDM710 Snapdragon 710,200,64,4,Non-removable,5000
vivo,S1 Pro (China),18,8,Adreno 612,Dual-Sim,LTE,Super AMOLED,4K,1080p,185,1080 x 2340 ,6.39,Yes,Android,Qualcomm SDM675 Snapdragon 675,310,128,6,Non-removable,3700
vivo,Z3x,,8,Adreno 512,Dual-Sim,LTE,IPS LCD,1080p,,150,1080 x 2280 ,6.26,Yes,Android,Qualcomm SDM660 Snapdragon 660,160,64,4,Non-removable,3260
vivo,Y17,18,8,PowerVR GE8320,Single-Sim,LTE,IPS LCD,1080p,1080p,190.5,720 x 1544 ,6.35,Yes,Android,Mediatek MT6765 Helio P35,230,128,4,Non-removable,5000
vivo,Y12,,8,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,1080p,190.5,720 x 1544 ,6.35,Yes,Android,Mediatek MT6762 Helio P22,249,32,3,Non-removable,5000
vivo,S1 (China),18,8,Mali-G72,Dual-Sim,LTE,IPS LCD,4K,1080p,189.5,1080 x 2340 ,6.53,Yes,Android,Mediatek MT6771 Helio P70,260,128,6,Non-removable,3940
vivo,Y91i (India),,8,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,,163.5,720 x 1520 ,6.22,Yes,Android,Mediatek MT6762 Helio P22,100,16,2,Non-removable,4030
Xiaomi,Redmi 9,18,8,Mali-G52,Dual-Sim,LTE,IPS LCD,1080p,1080p,198,1080 x 2340 ,6.53,Yes,Android,Mediatek Helio G80,129,32,3,Non-removable,5020
Xiaomi,Redmi 10X Pro 5G,33,8,Mali-G57,Dual-Sim,5G,AMOLED,4K,1080p,208,1080 x 2400 ,6.57,Yes,Android,MediaTek MT6875 Dimensity 820 5G,290,128,8,Non-removable,4520
Xiaomi,Redmi 10X 5G,22.5,8,Mali-G57,Dual-Sim,5G,AMOLED,4K,1080p,205,1080 x 2400 ,6.57,Yes,Android,MediaTek MT6875 Dimensity 820 5G,200,64,6,Non-removable,4520
Xiaomi,Redmi 10X 4G,18,8,Mali-G52,Dual-Sim,LTE,IPS LCD,1080p,1080p,199,1080 x 2340 ,6.53,Yes,Android,MediaTek Helio G85,199.99,128,4,Non-removable,5020
Xiaomi,Redmi K30i 5G,30,8,Adreno 620,Dual-Sim,5G,IPS LCD,4K,1080p,208,1080 x 2400 ,6.67,Yes,Android,Qualcomm SDM765 Snapdragon 765G,250,128,6,Non-removable,4800
Xiaomi,Poco F2 Pro,30,8,Adreno 650,Dual-Sim,5G,Super AMOLED,8K,1080p,219,1080 x 2400 ,6.67,Yes,Android,Qualcomm SM8250 Snapdragon 865,422,128,6,Non-removable,4700
Xiaomi,Redmi K30 5G Racing,30,8,Adreno 620,Dual-Sim,5G,IPS LCD,4K,1080p,208,1080 x 2400 ,6.67,Yes,Android,Qualcomm SDM768 Snapdragon 768G,260,128,6,Non-removable,4500
Xiaomi,Redmi Note 9 Pro,30,8,Adreno 618,Dual-Sim,LTE,IPS LCD,4K,1080p,209,1080 x 2400 ,6.67,Yes,Android,Qualcomm SM7125 Snapdragon 720G,225.99,64,6,Non-removable,5020
Xiaomi,Redmi Note 9,18,8,Mali-G52,Dual-Sim,LTE,IPS LCD,1080p,1080p,199,1080 x 2340 ,6.53,Yes,Android,MediaTek Helio G85,150,64,3,Non-removable,5020
Xiaomi,Mi Note 10 Lite,30,8,Adreno 618,Dual-Sim,LTE,AMOLED,4K,1080p,204,1080 x 2340 ,6.47,Yes,Android,Qualcomm SDM730 Snapdragon 730G,265.99,64,6,Non-removable,5260
Xiaomi,Mi 10 Youth 5G,20,8,Adreno 620,Dual-Sim,5G,Super AMOLED,4K,1080p,192,1080 x 2400 ,6.57,Yes,Android,Qualcomm SDM765 Snapdragon 765G,348.99,64,6,Non-removable,4160
Xiaomi,Mi 10 Lite 5G,20,8,Adreno 620,Dual-Sim,5G,AMOLED,4K,1080p,192,1080 x 2400 ,6.57,Yes,Android,Qualcomm SDM765 Snapdragon 765G,290.21,64,6,Non-removable,4160
Xiaomi,Redmi K30 Pro Zoom,33,8,Adreno 650,Dual-Sim,5G,Super AMOLED,8K,1080p,218,1080 x 2400 ,6.67,Yes,Android,Qualcomm SM8250 Snapdragon 865,609.99,128,8,Non-removable,4700
Xiaomi,Redmi K30 Pro,30,8,Adreno 650,Dual-Sim,5G,Super AMOLED,8K,1080p,218,1080 x 2400 ,6.67,Yes,Android,Qualcomm SM8250 Snapdragon 865,485.99,128,6,Non-removable,4700
Xiaomi,Redmi Note 9S,18,8,Adreno 618,Dual-Sim,LTE,IPS LCD,4K,1080p,209,1080 x 2400 ,6.67,Yes,Android,Qualcomm SM7125 Snapdragon 720G,185.26,64,4,Non-removable,5020
Xiaomi,Redmi Note 9 Pro Max,33,8,Adreno 618,Dual-Sim,LTE,IPS LCD,4K,1080p,209,1080 x 2400 ,6.67,Yes,Android,Qualcomm SM7125 Snapdragon 720G,180,64,6,Non-removable,5020
Xiaomi,Redmi Note 9 Pro (India),18,8,Adreno 618,Dual-Sim,LTE,IPS LCD,4K,1080p,209,1080 x 2400 ,6.67,Yes,Android,Qualcomm SM7125 Snapdragon 720G,13999,64,4,Non-removable,5020
Xiaomi,Black Shark 3,65,8,Adreno 650,Dual-Sim,5G,AMOLED,4K,1080p,222,1080 x 2400 ,6.67,Yes,Android,Qualcomm SM8250 Snapdragon 865,535,128,8,Non-removable,4720
Xiaomi,Mi 10 Pro 5G,50,8,Adreno 650,Single-Sim,5G,Super AMOLED,8K,1080p,208,1080 x 2340 ,6.67,No,Android,Qualcomm SM8250 Snapdragon 865,839.99,256,8,Non-removable,4500
Xiaomi,Mi 10 5G,30,8,Adreno 650,Single-Sim,5G,Super AMOLED,8K,1080p,208,1080 x 2340 ,6.67,No,Android,Qualcomm SM8250 Snapdragon 865,555.99,128,8,Non-removable,4780
Xiaomi,Redmi 8A Pro,18,8,Adreno 505,Dual-Sim,LTE,IPS LCD,1080p,1080p,188,720 x 1520 ,6.22,Yes,Android,Qualcomm SDM439 Snapdragon 439,90,32,2,Non-removable,5000
Xiaomi,Redmi 8A Dual,18,8,Adreno 505,Dual-Sim,LTE,IPS LCD,1080p,1080p,188,720 x 1520 ,6.22,Yes,Android,Qualcomm SDM439 Snapdragon 439,80,32,2,Non-removable,5000
Xiaomi,Poco X2,27,8,Adreno 618,Dual-Sim,LTE,IPS LCD,4K,1080p,208,1080 x 2400 ,6.67,Yes,Android,Qualcomm SDM730 Snapdragon 730G,200,64,6,Non-removable,4500
Xiaomi,Redmi K30,27,8,Adreno 618,Dual-Sim,LTE,IPS LCD,4K,1080p,208,1080 x 2400 ,6.67,Yes,Android,Qualcomm SDM730 Snapdragon 730G,246.99,64,6,Non-removable,4500
Xiaomi,Redmi K30 5G,30,8,Adreno 620,Dual-Sim,5G,IPS LCD,4K,1080p,208,1080 x 2400 ,6.67,Yes,Android,Qualcomm SDM765 Snapdragon 765G,289.99,64,6,Non-removable,4500
Xiaomi,Redmi Note 8T,18,8,Adreno 610,Dual-Sim,LTE,IPS LCD,4K,1080p,200,1080 x 2340 ,6.3,Yes,Android,Qualcomm SDM665 Snapdragon 665,139.99,32,3,Non-removable,4000
Xiaomi,Mi Note 10 Pro,30,8,Adreno 618,Dual-Sim,LTE,AMOLED,4K,1080p,208,1080 x 2340 ,6.47,Yes,Android,Qualcomm SDM730 Snapdragon 730G,505.99,256,8,Non-removable,5260
Xiaomi,Mi Note 10,30,8,Adreno 618,Dual-Sim,LTE,AMOLED,4K,1080p,208,1080 x 2340 ,6.47,Yes,Android,Qualcomm SDM730 Snapdragon 730G,329.99,128,6,Non-removable,5260
Xiaomi,Mi CC9 Pro,30,8,Adreno 618,Dual-Sim,LTE,AMOLED,4K,1080p,208,1080 x 2340 ,6.47,Yes,Android,Qualcomm SDM730 Snapdragon 730G,459.99,128,6,Non-removable,5260
Xiaomi,Redmi 8,18,8,Adreno 505,Dual-Sim,LTE,IPS LCD,1080p,1080p,188,720 x 1520 ,6.22,Yes,Android,Qualcomm SDM439 Snapdragon 439,109.99,32,3,Non-removable,5000
Xiaomi,Redmi 8A,18,8,Adreno 505,Dual-Sim,LTE,IPS LCD,1080p,1080p,188,720 x 1520 ,6.22,Yes,Android,Qualcomm SDM439 Snapdragon 439,95.64,32,2,Non-removable,5000
Xiaomi,Mi 9 Pro 5G,40,8,Adreno 640,Dual-Sim,5G,Super AMOLED,4K,1080p,196,1080 x 2340 ,6.39,No,Android,Qualcomm SM8150 Snapdragon 855+,579.99,128,8,Non-removable,4000
Xiaomi,Mi 9 Pro,40,8,Adreno 640,Dual-Sim,LTE,Super AMOLED,4K,1080p,196,1080 x 2340 ,6.39,No,Android,Qualcomm SM8150 Snapdragon 855+,500,128,8,Non-removable,4000
Xiaomi,Redmi K20 Pro Premium,27,8,Adreno 640,Dual-Sim,LTE,Super AMOLED,4K,1080p,191,1080 x 2340 ,6.39,Yes,Android,Qualcomm SM8150 Snapdragon 855+,450,128,8,Non-removable,4000
Xiaomi,Mi 9 Lite,18,8,Adreno 616,Dual-Sim,LTE,Super AMOLED,4K,1080p,179,1080 x 2340 ,6.39,Yes,Android,Qualcomm SDM710 Snapdragon 710,258.89,64,6,Non-removable,4030
Xiaomi,Redmi Note 8 Pro,18,8,Mali-G76,Dual-Sim,LTE,IPS LCD,4K,1080p,200,1080 x 2340 ,6.53,Yes,Android,Mediatek Helio G90T,175.99,64,6,Non-removable,4500
Xiaomi,Black Shark 2 Pro,27,8,Adreno 640,Dual-Sim,LTE,AMOLED,4K,1080p,205,1080 x 2340 ,6.39,No,Android,Qualcomm SM8150 Snapdragon 855+,429.99,128,8,Non-removable,4000
Xiaomi,Mi A3,18,8,Adreno 610,Dual-Sim,LTE,Super AMOLED,4K,1080p,173.8,720 x 1560 ,6.09,Yes,Android,Qualcomm SDM665 Snapdragon 665,174.9,64,4,Non-removable,4030
Xiaomi,Redmi 7A,10,8,Adreno 505,Dual-Sim,LTE,IPS LCD,1080p,1080p,165,720 x 1440 ,5.45,Yes,Android,Qualcomm SDM439 Snapdragon 439,83.47,16,2,Non-removable,4000
Xiaomi,Mi CC9e,18,8,Adreno 610,Dual-Sim,LTE,Super AMOLED,4K,1080p,173.8,720 x 1560 ,6.01,Yes,Android,Qualcomm SDM665 Snapdragon 665,170,64,4,Non-removable,4030
Xiaomi,Mi CC9,18,8,Adreno 616,Dual-Sim,LTE,Super AMOLED,4K,1080p,179,1080 x 2340 ,6.39,Yes,Android,Qualcomm SDM710 Snapdragon 710,260,64,6,Non-removable,4030
Xiaomi,Redmi Note 8,18,8,Adreno 610,Dual-Sim,LTE,IPS LCD,4K,1080p,190,1080 x 2340 ,6.3,Yes,Android,Qualcomm SDM665 Snapdragon 665,142.87,32,3,Non-removable,4000
Xiaomi,Mi 9T Pro,27,8,Adreno 640,Dual-Sim,LTE,Super AMOLED,4K,1080p,191,1080 x 2340 ,6.39,Yes,Android,Qualcomm SM8150 Snapdragon 855,536.29,64,6,Non-removable,4000
Xiaomi,Mi 9T,18,8,Adreno 618,Dual-Sim,LTE,AMOLED,4K,1080p,191,1080 x 2340 ,6.39,Yes,Android,Qualcomm SDM730 Snapdragon 730,279.99,64,6,Non-removable,4000
Xiaomi,Redmi K20,18,8,Adreno 618,Dual-Sim,LTE,Super AMOLED,4K,1080p,191,1080 x 2340 ,6.39,Yes,Android,Qualcomm SDM730 Snapdragon 730,24988,64,6,Non-removable,4000
Xiaomi,Redmi K20 Pro,27,8,Adreno 640,Dual-Sim,LTE,Super AMOLED,4K,1080p,191,1080 x 2340 ,6.39,Yes,Android,Qualcomm SM8150 Snapdragon 855,24999,64,6,Non-removable,4000
Xiaomi,Redmi Note 7S,18,8,Adreno 512,Dual-Sim,LTE,IPS LCD,1080p,1080p,186,1080 x 2340 ,6.3,Yes,Android,Qualcomm SDM660 Snapdragon 660,140,32,3,Non-removable,4000
Xiaomi,Redmi Y3,10,8,Adreno 506,Dual-Sim,LTE,IPS LCD,1080p,1080p,180,720 x 1520 ,6.26,Yes,Android,Qualcomm SDM632 Snapdragon 632,10000,32,3,Non-removable,4000
Xiaomi,Redmi 5 Plus (Redmi Note 5),10,8,Adreno 506,Dual-Sim,LTE,IPS LCD,4K,1080p,180,1080 x 2160 ,5.99,Yes,Android,Qualcomm MSM8953 Snapdragon 625,141.6,32,3,Non-removable,4000
Google,Pixel 4 XL,18,8,Adreno 640,Nano-Sim,LTE,P-OLED,4K,1080p,193,1440 x 3040 ,6.3,No,Android,Qualcomm SM8150 Snapdragon 855,479.99,64,6,Non-removable,3700
Google,Pixel 4,18,8,Adreno 640,Nano-Sim,LTE,P-OLED,4K,1080p,162,1080 x 2280 ,5.7,No,Android,Qualcomm SM8150 Snapdragon 855,524.52,64,6,Non-removable,2800
Google,Pixel 3a XL,18,8,Adreno 615,Nano-Sim,LTE,OLED,4K,1080p,167,1080 x 2160 ,6,Yes,Android,Qualcomm SDM670 Snapdragon 670,261.6,64,4,Non-removable,3700
Google,Pixel 3a,18,8,Adreno 615,Nano-Sim,LTE,OLED,4K,1080p,147,1080 x 2220 ,5.6,Yes,Android,Qualcomm SDM670 Snapdragon 670,212.16,64,4,Non-removable,3000
Huawei,Enjoy 20 Pro,22.5,8,Mali-G57,Dual-Sim,5G,IPS LCD,4K,1080p,192,1080 x 2400 ,6.5,Yes,Android,MediaTek MT6873V Dimensity 800 5G,250,128,6,Non-removable,4000
Huawei,Enjoy Z 5G,22.5,8,Mali-G57,Dual-Sim,5G,IPS LCD,4K,1080p,182,1080 x 2400 ,6.5,Yes,Android,MediaTek MT6873V Dimensity 800 5G,220,64,6,Non-removable,4000
Huawei,P Smart S,10,8,Mali-G51,Dual-Sim,LTE,OLED,1080p,1080p,163,1080 x 2400 ,6.3,Yes,Android,Kirin 710F,260,128,4,Non-removable,4000
Huawei,Y8p,10,8,Mali-G51,Dual-Sim,LTE,OLED,1080p,1080p,163,1080 x 2400 ,6.3,Yes,Android,Kirin 710F,240,128,4,Non-removable,4000
Huawei,P40 lite 5G,40,8,Mali-G57,Dual-Sim,5G,LTPS IPS LCD,4K,1080p,189,1080 x 2400 ,6.5,Yes,Android,Kirin 820 5G,369.95,128,6,Non-removable,4000
Huawei,P30 Pro New Edition,40,8,Mali-G76,Single-Sim,LTE,OLED,4K,1080p,192,1080 x 2340 ,6.47,No,Android,Kirin 980,743.24,256,8,Non-removable,4200
Huawei,Y8s,10,8,Mali-G51,Single-Sim,LTE,IPS LCD,1080p,1080p,180,1080 x 2340 ,6.5,Yes,Android,Kirin 710,140,64,4,Non-removable,4000
Huawei,Y6p,10,8,PowerVR GE8320,Single-Sim,LTE,IPS LCD,1080p,1080p,185,720 x 1600 ,6.3,Yes,Android,Mediatek MT6762R Helio P22,128.42,32,3,Non-removable,5000
Huawei,Y5p,,8,PowerVR GE8320,Single-Sim,LTE,IPS LCD,1080p,1080p,144,720 x 1440 ,5.45,Yes,Android,Mediatek MT6762R Helio P22,84.9,32,2,Non-removable,3020
Huawei,P smart 2020,10,8,Mali-G51,Dual-Sim,LTE,LTPS IPS LCD,1080p,1080p,160,1080 x 2340 ,6.21,Yes,Android,Kirin 710,179.99,128,4,Non-removable,3400
Huawei,nova 7 Pro 5G,40,8,Mali-G77,Dual-Sim,5G,OLED,4K,4K,178,1080 x 2340 ,6.57,No,Android,Kirin 985 5G,552.79,128,8,Non-removable,4000
Huawei,nova 7 5G,40,8,Mali-G77,Single-Sim,5G,OLED,4K,4K,180,1080 x 2400 ,6.53,No,Android,Kirin 985 5G,454.39,128,8,Non-removable,4000
Huawei,nova 7 SE,40,8,Mali-G57,Dual-Sim,5G,LTPS IPS LCD,4K,1080p,189,1080 x 2400 ,6.5,Yes,Android,Kirin 820 5G,320,128,8,Non-removable,4000
Huawei,P40 Pro+,40,8,Mali-G76,Single-Sim,5G,OLED,4K,4K,226,1200 x 2640 ,6.58,No,Android,Kirin 990 5G,1400,256,8,Non-removable,4200
Huawei,P40 Pro,40,8,Mali-G76,Single-Sim,5G,OLED,4K,4K,209,1200 x 2640 ,6.58,No,Android,Kirin 990 5G,799.99,128,8,Non-removable,4200
Huawei,P40,22.5,8,Mali-G76,Single-Sim,5G,OLED,4K,4K,175,1080 x 2340 ,6.1,No,Android,Kirin 990 5G,528.99,128,6,Non-removable,3800
Huawei,P40 lite E,10,8,Mali-G51,Dual-Sim,LTE,IPS LCD,1080p,1080p,176,720 x 1560 ,6.39,Yes,Android,Kirin 710F,160,64,4,Non-removable,4000
Huawei,P40 lite,40,8,Mali-G52,Dual-Sim,LTE,LTPS IPS LCD,1080p,1080p,183,1080 x 2310 ,6.4,Yes,Android,Kirin 810,206,128,6,Non-removable,4200
Huawei,P30 lite New Edition,18,8,Mali-G51,Dual-Sim,LTE,IPS LCD,1080p,1080p,152.9,1080 x 2312 ,6.15,Yes,Android,Kirin 710,227.21,256,6,Non-removable,3340
Huawei,Y7p,10,8,Mali-G51,Dual-Sim,LTE,IPS LCD,1080p,1080p,176,720 x 1560 ,6.39,Yes,Android,Kirin 710F,140,64,4,Non-removable,4000
Huawei,nova 7i,40,8,Mali-G52,Single-Sim,LTE,LTPS IPS LCD,1080p,1080p,183,1080 x 2310 ,6.4,Yes,Android,Kirin 810,258.48,128,8,Non-removable,4200
Huawei,Y6s (2019),,8,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,1080p,150,720 x 1560 ,6.09,Yes,Android,Mediatek MT6765 Helio P35,107.99,32,3,Non-removable,3020
Huawei,P smart Pro 2019,10,8,Mali-G51,Dual-Sim,LTE,LTPS IPS LCD,1080p,1080p,206,1080 x 2340 ,6.59,Yes,Android,Kirin 710F,290,128,6,Non-removable,4000
Huawei,nova 6 5G,40,8,Mali-G76,Dual-Sim,5G,LTPS IPS LCD,4K,4K,212,1080 x 2400 ,6.57,Yes,Android,Kirin 990,540,128,8,Non-removable,4200
Huawei,nova 6,40,8,Mali-G76,Dual-Sim,LTE,LTPS IPS LCD,4K,4K,197,1080 x 2400 ,6.57,Yes,Android,Kirin 990,359.99,128,8,Non-removable,4100
Huawei,nova 6 SE,40,8,Mali-G52,Dual-Sim,LTE,LTPS IPS LCD,1080p,1080p,183,1080 x 2310 ,6.4,Yes,Android,Kirin 810,280,128,8,Non-removable,4200
Huawei,Y9s,10,8,Mali-G51,Dual-Sim,LTE,LTPS IPS LCD,1080p,1080p,206,1080 x 2340 ,6.59,Yes,Android,Kirin 710F,19990,128,6,Non-removable,4000
Huawei,nova 5z,20,8,Mali-G52,Dual-Sim,LTE,LTPS IPS LCD,4K,1080p,178,1080 x 2340 ,6.26,Yes,Android,Kirin 810,200,64,6,Non-removable,4000
Huawei,Enjoy 10s,10,8,Mali-G51,Dual-Sim,LTE,OLED,1080p,1080p,163,1080 x 2400 ,6.3,Yes,Android,Kirin 710F,200,64,6,Non-removable,4000
Huawei,Enjoy 10,10,8,Mali-G51,Dual-Sim,LTE,IPS LCD,1080p,1080p,176,720 x 1560 ,6.39,Yes,Android,Kirin 710F,150,64,4,Non-removable,4000
Huawei,Mate 30 RS Porsche Design,40,8,Mali-G76,Dual-Sim,5G,OLED,4K,1080p,198,1176 x 2400 ,6.53,No,Android,Kirin 990 5G,1700,512,12,Non-removable,4500
Huawei,Mate 30 Pro 5G,40,8,Mali-G76,Dual-Sim,5G,OLED,4K,1080p,198,1176 x 2400 ,6.53,No,Android,Kirin 990 5G,864.99,128,8,Non-removable,4500
Huawei,Mate 30 Pro,40,8,Mali-G76,Single-Sim,LTE,OLED,4K,1080p,198,1176 x 2400 ,6.53,No,Android,Kirin 990,713.35,128,8,Non-removable,4500
Huawei,Mate 30 5G,40,8,Mali-G76,Dual-Sim,5G,OLED,4K,1080p,196,1080 x 2340 ,6.62,Yes,Android,Kirin 990 5G,650,128,6,Non-removable,4200
Huawei,Mate 30,40,8,Mali-G76,Single-Sim,LTE,OLED,4K,1080p,196,1080 x 2340 ,6.62,Yes,Android,Kirin 990,550,128,6,Non-removable,4200
Huawei,nova 5i Pro,20,8,Mali-G52,Dual-Sim,LTE,LTPS IPS LCD,4K,1080p,178,1080 x 2340 ,6.26,Yes,Android,Kirin 810,290,128,6,Non-removable,4000
Huawei,Enjoy 10 Plus,10,8,Mali-G51,Dual-Sim,LTE,IPS LCD,1080p,1080p,163.5,1080 x 2340 ,6.59,Yes,Android,Kirin 710F,190,128,4,Non-removable,4000
Huawei,nova 5T,22.5,8,Mali-G76,Dual-Sim,LTE,IPS LCD,4K,1080p,174,1080 x 2340 ,6.26,No,Android,Kirin 980,239,128,6,Non-removable,3750
Huawei,nova 5 Pro,40,8,Mali-G76,Dual-Sim,LTE,OLED,4K,1080p,171,1080 x 2340 ,6.39,No,Android,Kirin 980,390,128,8,Non-removable,3500
Huawei,nova 5,40,8,Mali-G52,Dual-Sim,LTE,OLED,1080p,1080p,171,1080 x 2340 ,6.39,No,Android,Kirin 810,360,128,8,Non-removable,3500
Huawei,nova 5i,10,8,Mali-G51,Dual-Sim,LTE,IPS LCD,1080p,1080p,178,1080 x 2310 ,6.4,Yes,Android,Kirin 710F,260,128,6,Non-removable,4000
Huawei,Y9 Prime (2019),,8,Mali-G51,Single-Sim,LTE,LTPS IPS LCD,1080p,1080p,196.8,1080 x 2340 ,6.59,Yes,Android,Kirin 710F,15489,64,4,Non-removable,4000
Huawei,P20 lite (2019),18,8,Mali-G51,Single-Sim,LTE,LTPS IPS LCD,1080p,1080p,178,1080 x 2310 ,6.4,Yes,Android,Kirin 710,280,64,4,Non-removable,4000
Huawei,P Smart Z,,8,Mali-G51,Single-Sim,LTE,LTPS IPS LCD,1080p,1080p,196.8,1080 x 2340 ,6.59,Yes,Android,Kirin 710F,280,64,4,Non-removable,4000
Huawei,Mate 20 X (5G),40,8,Mali-G76,Dual-Sim,5G,OLED,4K,1080p,233,1080 x 2244 ,7.2,No,Android,Kirin 980,575,256,8,Non-removable,4200
Huawei,Y5 (2019),,4,PowerVR GE8320,Single-Sim,LTE,IPS LCD,1080p,,146,720 x 1520 ,5.71,Yes,Android,Mediatek MT6761 Helio A22,86.16,16,2,Non-removable,3020
Lenovo,K10 Plus,10,8,Adreno 506,Dual-Sim,LTE,IPS LCD,1080p,1080p,172,720 x 1520 ,6.22,Yes,Android,Qualcomm SDM632 Snapdragon 632,135,64,4,Non-removable,4050
Lenovo,K10 Note,18,8,Adreno 616,Dual-Sim,LTE,IPS LCD,1080p,1080p,164,1080 x 2340 ,6.3,Yes,Android,Qualcomm SDM710 Snapdragon 710,224,64,4,Non-removable,4050
Lenovo,A6 Note,10,8,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,,172,720 x 1560 ,6.09,Yes,Android,Mediatek MT6762 Helio P22,100,16,2,Non-removable,4000
Lenovo,Tab M7,,4,Mali-400,Nano-Sim,LTE,IPS LCD,720p,720p,236,600 x 1024 ,7,Yes,Android,Mediatek MT8321,100,8,1,Non-removable,3590
Lenovo,Z6,15,8,Adreno 618,Dual-Sim,LTE,Super AMOLED,4K,1080p,159,1080 x 2340 ,6.39,Yes,Android,Qualcomm SDM730 Snapdragon 730,250,64,6,Non-removable,4000
Lenovo,Z6 Pro 5G,18,8,Adreno 640,Dual-Sim,5G,Super AMOLED,4K,1080p,185,1080 x 2340 ,6.39,Yes,Android,Qualcomm SM8150 Snapdragon 855,400,128,6,Non-removable,4000
Lenovo,Z6 Youth,15,8,Adreno 616,Dual-Sim,LTE,IPS LCD,1080p,1080p,164,1080 x 2340 ,6.3,Yes,Android,Qualcomm SDM710 Snapdragon 710,160,64,4,Non-removable,4050
Lenovo,Z6 Pro,18,8,Adreno 640,Dual-Sim,LTE,Super AMOLED,4K,1080p,185,1080 x 2340 ,6.39,Yes,Android,Qualcomm SM8150 Snapdragon 855,330.99,128,6,Non-removable,4000
LG,Q61,,8,PowerVR GE8320,Nano-Sim,LTE,IPS LCD,1080p,1080p,191,1080 x 2340 ,6.53,Yes,Android,Mediatek MT6765 Helio P35,270,64,4,Non-removable,4000
LG,Stylo 6,,8,PowerVR GE8320,Nano-Sim,LTE,IPS LCD,1080p,1080p,219,1080 x 2460 ,6.8,Yes,Android,Mediatek MT6765 Helio P35,200,64,3,Non-removable,4000
LG,Velvet,25,8,Adreno 620,Dual-Sim,5G,P-OLED,4K,1080p,180,1080 x 2460 ,6.8,Yes,Android,Qualcomm SDM765 Snapdragon 765G,769.98,128,6,Non-removable,4300
LG,Q51,,8,PowerVR GE8320,Dual-Sim,LTE,IPS LCD,1080p,1080p,204,720 x 1520 ,6.5,Yes,Android,Mediatek MT6762 Helio P22,240,32,3,Non-removable,4000
LG,W10 Alpha,,8,IMG8322,Dual-Sim,LTE,IPS LCD,1080p,720p,170,720 x 1512 ,5.71,Yes,Android,Unisoc SC9863A,130,32,3,Non-removable,3450
LG,K61,,8,PowerVR GE8320,Single-Sim,LTE,IPS LCD,1080p,1080p,191,1080 x 2340 ,6.53,Yes,Android,Mediatek MT6765 Helio P35,239.59,64,4,Non-removable,4000
LG,K51S,,8,PowerVR GE8320,Single-Sim,LTE,IPS LCD,1080p,1080p,194.5,720 x 1600 ,6.55,Yes,Android,Mediatek MT6765 Helio P35,190.09,64,3,Non-removable,4000
LG,K41S,,8,PowerVR GE8320,Single-Sim,LTE,IPS LCD,1080p,1080p,191.7,720 x 1600 ,6.55,Yes,Android,Mediatek MT6762 Helio P22,145,32,3,Non-removable,4000
LG,V50S ThinQ 5G,21,8,Adreno 640,Single-Sim,5G,OLED,4K,4K,192,1080 x 2340 ,6.4,Yes,Android,Qualcomm SM8150 Snapdragon 855,1100,256,8,Non-removable,4000
LG,G8X ThinQ,21,8,Adreno 640,Single-Sim,LTE,OLED,4K,4K,192,1080 x 2340 ,6.4,Yes,Android,Qualcomm SM8150 Snapdragon 855,578,128,6,Non-removable,4000
LG,Q70,15,8,Adreno 612,Single-Sim,LTE,IPS LCD,4K,1080p,198,1080 x 2310 ,6.4,Yes,Android,Qualcomm SDM675 Snapdragon 675,320,64,4,Non-removable,4000
LG,K30 (2019),,4,Adreno 308,Single-Sim,LTE,IPS LCD,1080p,,148,720 x 1440 ,5.45,Yes,Android,Qualcomm MSM8917 Snapdragon 425,140,16,2,Non-removable,3000
LG,K20 (2019),,4,PowerVR GE8100,Dual-Sim,LTE,IPS LCD,1080p,,152,480 x 960 ,5.45,Yes,Android,Mediatek MT6739,100,16,1,Non-removable,3000
LG,K40S,,8,PowerVR GE8320,Single-Sim,LTE,IPS LCD,1080p,1080p,186,720 x 1520 ,6.1,Yes,Android,Mediatek MT6762 Helio P22,160,32,2,Non-removable,3500
LG,K50S,,8,PowerVR GE8320,Single-Sim,LTE,IPS LCD,1080p,1080p,194,720 x 1520 ,6.5,Yes,Android,Mediatek MT6762 Helio P22,200,32,3,Non-removable,4000
LG,W30 Pro,,8,Adreno 506,Dual-Sim,LTE,IPS LCD,4K,1080p,172,720 x 1520 ,6.22,Yes,Android,Qualcomm SDM632 Snapdragon 632,190,64,4,Non-removable,4050
LG,W30,,8,PowerVR GE8320,Single-Sim,LTE,IPS LCD,1080p,,175,720 x 1520 ,6.26,Yes,Android,Mediatek MT6762 Helio P22,130,32,3,Non-removable,4000
